   NN   |  ReNN  | Random 
26.06% | 26.06% | 11.70%
59.46% | 17.84% | 31.89%
23.18% | 23.18% | 16.56%
82.56% | 82.56% | 49.42%
40.43% | 40.43% | 59.04%
54.60% | 54.60% | 50.57%
37.06% | 32.49% | 46.19%
0.00% | 0.00% | 113.89%
0.00% | 0.00% | 44.34%
38.93% | 38.93% | 132.82%
79.26% | 79.26% | 85.19%
28.93% | 28.93% | 80.17%
0.00% | 0.00% | 55.92%
38.46% | 38.46% | 30.77%
67.03% | 67.03% | 57.30%
0.00% | 0.00% | 55.92%
10.90% | 10.90% | 19.91%
41.14% | 41.14% | 12.66%
61.17% | 61.17% | 19.68%
72.22% | 72.22% | 59.26%
85.71% | 85.71% | 80.67%
44.03% | 44.03% | 1.26%
29.73% | 29.73% | 34.59%
43.60% | 43.60% | 48.84%
66.09% | 66.09% | 52.87%
114.91% | 114.91% | 31.68%
88.28% | 46.90% | 46.90%
7.07% | 7.07% | 39.90%
48.80% | 48.80% | 44.80%
99.08% | 99.08% | 67.89%
0.00% | 0.00% | 98.59%
4.24% | 4.24% | 17.58%
35.17% | 35.17% | 8.28%
62.71% | 62.71% | 39.55%
21.40% | 21.40% | 0.00%
14.85% | 14.85% | 33.66%
19.81% | 19.81% | 47.83%
23.46% | 23.46% | 48.04%
84.56% | 84.56% | 82.35%
57.46% | 57.46% | 20.90%
60.74% | 60.74% | 36.30%
137.14% | 137.14% | 77.14%
45.86% | 0.00% | 77.44%
38.35% | 38.35% | 26.32%
77.06% | 77.06% | 72.48%
57.52% | 27.45% | 26.14%
0.00% | 0.00% | 53.38%
111.02% | 111.02% | 104.24%
31.25% | 0.00% | 32.64%
24.32% | 24.32% | 38.38%
84.50% | 58.91% | 0.00%
4.35% | 4.35% | 57.14%
51.74% | 51.74% | 31.40%
43.62% | 43.62% | 76.51%
61.99% | 61.99% | 56.73%
0.00% | 0.00% | 111.58%
18.54% | 18.54% | 34.63%
11.43% | 11.43% | 35.00%
0.00% | 0.00% | 14.69%
56.69% | 56.69% | 18.11%
83.85% | 83.85% | 50.77%
59.18% | 59.18% | 24.49%
50.55% | 50.55% | 36.26%
60.75% | 60.75% | 16.82%
32.52% | 32.52% | 101.63%
8.82% | 8.82% | 8.82%
17.45% | 17.45% | 113.42%
84.56% | 41.91% | 29.41%
132.04% | 132.04% | 117.48%
50.30% | 50.30% | 44.85%
34.48% | 6.90% | 42.07%
13.30% | 13.30% | 24.63%
75.14% | 75.14% | 39.78%
46.59% | 46.59% | 100.00%
3.43% | 3.43% | 69.14%
76.16% | 76.16% | 46.36%
19.31% | 19.31% | 53.10%
31.76% | 0.00% | 16.47%
28.97% | 28.97% | 35.86%
5.76% | 5.76% | 22.30%
14.90% | 14.90% | 7.21%
65.58% | 65.58% | 19.48%
66.86% | 66.86% | 34.29%
12.50% | 12.50% | 65.00%
68.93% | 68.93% | 40.68%
22.14% | 22.14% | 62.86%
0.00% | 0.00% | 33.73%
131.87% | 131.87% | 125.27%
0.00% | 0.00% | 108.00%
167.31% | 167.31% | 91.35%
36.76% | 36.76% | 32.97%
64.23% | 64.23% | 75.91%
54.33% | 54.33% | 123.62%
53.29% | 53.29% | 55.92%
22.22% | 22.22% | 24.56%
59.12% | 59.12% | 17.13%
60.71% | 60.71% | 69.05%
47.44% | 47.44% | 20.51%
76.32% | 76.32% | 42.11%
147.79% | 147.79% | 98.53%
--------------------
44.51% | 41.38% | 46.50%
